"UNIDADE DE EMERGENCIA ARMANDO LAGES",1436,40,2021/03/04,162.42,,,,,,,,10,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1437,40,2021/02/28,259.22,2,,,,,,20,4,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",1439,40,2021/03/04,64.97,4,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1479,40,2021/03/04,227.38,,,,,,,,14,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1480,40,2021/03/04,32.48,,,,,,,,2,,,,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",1483,40,2021/03/04,84.93,,,,,7,,,,,,,,3.5,,,,,,,,,,,,
"Unidade NOELIA LESSA",1484,40,2021/03/04,113.24,,,,,14,,,,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1485,40,2021/03/04,741.29,3,,,,7,2,,1,72.6,,,,,,,,,,,,,,,,
"Unidade Mista Senador Arnon Afonso Farias de Melo",2299,73,2021/03/04,566.19,,,,,,,70,,,,,,,,,,,,,,,,,,
"Unidade Mista Dr. Antônio Serpa",2301,73,2021/03/04,1621.12,,,,,14,6,180,,,,,,,,,,,,,,,,,,
"Samu Maceió",7540,48,2021/03/04,294.52,,,,,,11,,5,,,,4,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7545,48,2021/03/04,32.48,2,,,,,,,,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7548,48,2021/03/04,242.65,,,,,,,30,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97295,200,2021/03/04,81.21,,,,,,,,5,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",356,34,2021/03/05,3879.84,,2192,,,,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF PORTO CALVO",812,32,2021/03/05,113.69,7,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1491,40,2021/03/05,194.9,,,,,,,,12,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1495,40,2021/03/05,684.67,1,,,,,,,5,72.6,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1496,40,2021/03/05,169.86,,,,,21,,,,,,,,,,,,,,,,,,,,
"Samu Maceió",7551,48,2021/03/05,327,,,,,,11,,7,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7555,48,2021/03/05,32.48,,,,,,2,,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7559,48,2021/03/05,113.69,7,,,,,,,,,,,,,,,,,,,,,,,,
"SAMU Arapiraca",97314,200,2021/03/05,81.21,,,,,,,,5,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97317,200,2021/03/05,64.97,,,,,,,,4,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",192,54,2021/03/06,34007.01,,19213,,,,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF PORTO CALVO",357,34,2021/03/06,4692.27,,2651,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1501,40,2021/03/06,243.3,,,,,,,10,10,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1505,40,2021/03/06,194.58,4,,,,,,10,3,,,,,,,,,,,,,,,,,
"Samu Maceió",7564,48,2021/03/06,211.14,,,,,,6,,7,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7568,48,2021/03/06,64.97,4,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",47330,99,2021/03/06,454.77,,,,,,,,,,,20,,,,,,,,,,,,,,
HEMOAL,47333,99,2021/03/06,68.22,,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",47341,99,2021/03/06,1568.96,,,,,,,,,,,69,,,,,,,,,,,,,,
"Unidade Mista Senador Arnon Afonso Farias de Melo",47352,99,2021/03/06,90.95,,,,,,,,,,,4,,,,,,,,,,,,,,
"UNIDADE MISTA QUITÉRIA BEZERRA DE MELO",47356,99,2021/03/06,113.69,,,,,,,,,,,5,,,,,,,,,,,,,,
"Unidade Mista Dr. Antônio Serpa",47358,99,2021/03/06,113.69,,,,,,,,,,,5,,,,,,,,,,,,,,
"SAMU Arapiraca",47360,99,2021/03/06,386.55,,,,,,,,,,,17,,,,,,,,,,,,,,
"Samu Maceió",47370,99,2021/03/06,682.16,,,,,,,,,,,30,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",283,46,2021/03/07,23788.8,,13440,,,,,,,,,,,,,,,,,,,,,,,
"Samu Maceió",7571,48,2021/03/07,97.45,,,,,,,,6,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",7573,48,2021/03/07,1359.44,,,,,,,150,9,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",7575,48,2021/03/07,1000.18,2,,,,70,,,5,39.6,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7577,48,2021/03/07,81.21,5,,,,,,,,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1512,40,2021/03/08,1173.34,3,,,,,1,30,4,99,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1514,40,2021/03/08,598.02,,,,,,,10,16,6.6,,,,,,,,,,,,,,,,
"Samu Maceió",7580,48,2021/03/08,113.69,,,,,,,,7,,,,,,,,,,,,,,,,,
"Samu Maceió",7585,48,2021/03/08,422.28,,,,,,26,,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7589,48,2021/03/08,81.21,5,,,,,,,,,,,,,,,,,,,,,,,,
"SAMU Arapiraca",97341,200,2021/03/08,277.19,,,,,,32,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97342,200,2021/03/08,129.93,,,,,,,,8,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",821,32,2021/03/09,113.69,7,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1518,40,2021/03/09,315.57,,,,,35,,,2,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1519,40,2021/03/09,790.02,3,,,,7,,,6,72.6,,,,,,,,,,,,,,,,
"Samu Maceió",7597,48,2021/03/09,243.62,,,,,,8,,7,,,,,,,,,,,,,,,,,
"Samu Maceió",7599,48,2021/03/09,16.24,,,,,,,,1,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7602,48,2021/03/09,48.73,3,,,,,,,,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7603,48,2021/03/09,161.77,,,,,,,20,,,,,,,,,,,,,,,,,,
"Unidade Dom Miguel Fenelon Câmara",7606,48,2021/03/09,161.77,,,,,,,20,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",7609,48,2021/03/09,129.93,,,,,,,,8,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",346,44,2021/03/11,883.23,,499,,,,,,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",347,44,2021/03/11,12175.83,,6879,,,,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",830,32,2021/03/11,89.1,2,,,,7,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF PORTO CALVO",831,32,2021/03/11,322.24,4,,5.6,,,,,,,,,,,,,,,,,,,,,,
"Unidade NOELIA LESSA",1529,40,2021/03/11,113.24,,,,,14,,,,,,,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",1530,40,2021/03/11,84.93,,,,,7,,,,,,,,3.5,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1531,40,2021/03/11,930.81,,,,,35,,60,10,,,,,,,,,,,,,,,,,
HEMOAL,1532,40,2021/03/11,186.1,,,,,21,,,1,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1536,40,2021/03/11,817.39,3,,,,21,,,4,66,,,,,,,,,,,,,,,,
"Samu Maceió",7611,48,2021/03/11,276.1,,,,,,10,,7,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7616,48,2021/03/11,242.65,,,,,,,30,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7618,48,2021/03/11,81.21,5,,,,,,,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7622,48,2021/03/11,113.69,7,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97389,200,2021/03/11,97.45,,,,,,,,6,,,,,,,,,,,,,,,,,
"Samu Maceió",97399,200,2021/03/11,259.87,,,,,,11,,5,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",97402,200,2021/03/11,722.2,6,,,,21,1,,4,46.2,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",97403,200,2021/03/11,1367.85,,,,,21,1,120,13,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",97416,200,2021/03/11,81.21,5,,,,,,,,,,,,,,,,,,,,,,,,
"Unidade Dom Miguel Fenelon Câmara",97418,200,2021/03/11,16.24,,,,,,1,,,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1540,40,2021/03/12,328.71,1,,,,14,,10,4,6.6,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1548,40,2021/03/12,835.12,,,,,28,,50,6,13.2,,,,,,,,,,,,,,,,
"Samu Maceió",1549,40,2021/03/12,97.45,,,,,,,,6,,,,,,,,,,,,,,,,,
"Samu Maceió",7625,48,2021/03/12,308.59,,,,,,8,,11,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7632,48,2021/03/12,81.21,5,,,,,,,,,,,,,,,,,,,,,,,,
"SAMU Arapiraca",97432,200,2021/03/12,763.36,,,,,,75,,2,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",193,54,2021/03/13,32778.63,,18519,,,,,,,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1550,40,2021/03/13,242.98,1,,,,,,20,4,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1555,40,2021/03/13,2143.52,,,,,35,,60,10,,,,,,,56,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1556,40,2021/03/13,16.24,,,,,,,,1,,,,,,,,,,,,,,,,,
"Samu Maceió",7639,48,2021/03/13,438.53,,,,,,21,,6,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7642,48,2021/03/13,64.97,4,,,,,,,,,,,,,,,,,,,,,,,,
"Samu Maceió",7646,48,2021/03/13,113.69,,,,,,,,7,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",7648,48,2021/03/13,32.48,,,,,,,,2,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",7649,48,2021/03/13,81.21,,,,,,,,5,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7651,48,2021/03/13,81.21,5,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97455,200,2021/03/13,401.51,,,,,,,,5,39.6,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",284,46,2021/03/14,22907.34,,12942,,,,,,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",1558,40,2021/03/14,48.73,3,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1559,40,2021/03/14,162.42,,,,,,,,10,,,,,,,,,,,,,,,,,
"Samu Maceió",1560,40,2021/03/14,129.93,,,,,,,,8,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",7653,48,2021/03/14,243.3,4,,,,,,10,6,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",285,46,2021/03/15,24417.15,,13795,,,,,,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",350,44,2021/03/15,10743.9,,6070,,,,,,,,,,,,,,,,,,,,,,,
"Samu Maceió",1562,40,2021/03/15,211.14,,,,,,11,,2,,,,,,,,,,,,,,,,,
"Samu Maceió",1563,40,2021/03/15,32.48,,,,,,,,2,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1568,40,2021/03/15,623.26,,,,,63,,,7,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1572,40,2021/03/15,162.09,1,,,,,,10,4,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1573,40,2021/03/15,16.24,,,,,,,,1,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7663,48,2021/03/15,48.73,3,,,,,,,,,,,,,,,,,,,,,,,,
"Unidade Dom Miguel Fenelon Câmara",7666,48,2021/03/15,80.88,,,,,,,10,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",847,32,2021/03/16,283.55,7,,,,21,,,,,,,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",1575,40,2021/03/16,202.34,,,,,21,2,,,,,,,,,,,,,,,,,,,
"Unidade NOELIA LESSA",1577,40,2021/03/16,113.24,,,,,14,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1578,40,2021/03/16,1030.57,,,,,14,,60,5,,,,,,9,,,,,,,,,,,
"HOSPITAL DA MULHER",1582,40,2021/03/16,105.35,,,,,7,,,3,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",4449,62,2021/03/16,4191.36,,2368,,,,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF PORTO CALVO",4451,62,2021/03/16,4442.7,,,,2510,,,,,,,,,,,,,,,,,,,,,
"Samu Maceió",7669,48,2021/03/16,162.42,,,,,,5,,5,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7676,48,2021/03/16,80.88,,,,,,,10,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7677,48,2021/03/16,81.21,5,,,,,,,,,,,,,,,,,,,,,,,,
"SAMU Arapiraca",97492,200,2021/03/16,410.37,,,,,,38,,5,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97493,200,2021/03/16,81.21,,,,,,,,5,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1583,40,2021/03/17,236.7,5,,,,,1,,2,13.2,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1587,40,2021/03/17,453.79,,,,,,,30,13,,,,,,,,,,,,,,,,,
"Samu Maceió",7684,48,2021/03/17,214.38,,,,,,2,,8,,,,6,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7692,48,2021/03/17,113.69,7,,,,,,,,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",7699,48,2021/03/17,587.22,,,,,,,,,72.6,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF PORTO CALVO",860,32,2021/03/18,97.45,6,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1589,40,2021/03/18,930.81,,,,,35,,60,10,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1592,40,2021/03/18,331.88,1,,,,,1,,2,33,,,,,,,,,,,,,,,,
"Samu Maceió",7703,48,2021/03/18,113.69,,,,,,,,7,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7704,48,2021/03/18,80.88,,,,,,,10,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7706,48,2021/03/18,81.21,5,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",7713,48,2021/03/18,129.93,,,,,,,,8,,,,,,,,,,,,,,,,,
"Samu Maceió",97514,200,2021/03/18,162.42,,,,,,10,,,,,,,,,,,,,,,,,,,
"Unidade Mista Senador Arnon Afonso Farias de Melo",97520,200,2021/03/18,808.84,,,,,,,100,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",195,54,2021/03/19,25783.59,,14567,,,,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",867,32,2021/03/19,283.55,5,,,,21,2,,,,,,,,,,,,,,,,,,,
"Unidade NOELIA LESSA",1598,40,2021/03/19,113.24,,,,,14,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1601,40,2021/03/19,1151.69,,,,,35,,60,2,,,,,,9,,,,,,,,,,,
"HOSPITAL DA MULHER",1608,40,2021/03/19,267.31,,,,,21,1,,5,,,,,,,,,,,,,,,,,
"Samu Maceió",7717,48,2021/03/19,389.81,,,,,,15,,9,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7722,48,2021/03/19,129.93,8,,,,,,,,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",7730,48,2021/03/19,64.97,4,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",7732,48,2021/03/19,194.9,,,,,,,,12,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1613,40,2021/03/20,155.49,1,,,,,,,2,13.2,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1617,40,2021/03/20,89.1,,,,,7,,,2,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1619,40,2021/03/20,1091.93,,,,,35,,100,,,,,,,,,,,,,,,,,,
"Samu Maceió",7736,48,2021/03/20,389.8,,,,,,18,,6,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7741,48,2021/03/20,32.48,2,,,,,,,,,,,,,,,,,,,,,,,,
"Samu Maceió",7748,48,2021/03/21,227.38,,,,,,,,14,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",7750,48,2021/03/21,162.09,,,,,,,10,5,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",7751,48,2021/03/21,32.48,,,,,,,,2,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",7752,48,2021/03/21,129.93,2,,,,,,,6,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7753,48,2021/03/21,64.97,4,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",7757,48,2021/03/21,146.18,,,,,,,,9,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",97555,200,2021/03/21,14444.97,,8161,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1625,40,2021/03/22,32.48,,,,,,,,2,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1626,40,2021/03/22,928.54,,,,,35,,60,,19.8,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1630,40,2021/03/22,259.42,4,,,,14,,,5,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",1631,40,2021/03/22,32.48,2,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1632,40,2021/03/22,129.93,,,,,,,,8,,,,,,,,,,,,,,,,,
"Samu Maceió",7759,48,2021/03/22,524.06,,,,,,20,,8,,,,8,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7766,48,2021/03/22,64.97,4,,,,,,,,,,,,,,,,,,,,,,,,
"SAMU Arapiraca",97561,200,2021/03/22,777.43,,,,,,86,,2,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97562,200,2021/03/22,513.24,,,,,,,,10,,,,,,,,9,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97568,200,2021/03/22,113.69,,,,,,,,7,,,,,,,,,,,,,,,,,
"Samu Maceió",286,46,2021/03/23,32.48,,,,,,,,2,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",288,46,2021/03/23,146.18,,,,,,,,9,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",290,46,2021/03/23,16.24,1,,,,,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",876,32,2021/03/23,243.17,8,,,,14,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF PORTO CALVO",878,32,2021/03/23,64.97,4,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1636,40,2021/03/23,81.21,,,,,,,,5,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1637,40,2021/03/23,1375.03,,,,,70,,100,,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1638,40,2021/03/23,113.69,1,,,,,1,,5,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1639,40,2021/03/23,113.24,,,,,14,,,,,,,,,,,,,,,,,,,,
"Samu Maceió",7776,48,2021/03/23,292.35,,,,,,7,,11,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7780,48,2021/03/23,48.73,3,,,,,,,,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",97591,200,2021/03/23,259.14,,,,,,,,,,7,,,,,,,,,,,,,,,
"Samu Maceió",291,46,2021/03/24,32.48,,,,,,,,2,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",361,58,2021/03/24,21395.76,,12088,,,,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",440,50,2021/03/24,4129.41,,2333,,,,,,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",879,32,2021/03/24,339.71,,,,,42,,,,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1645,40,2021/03/24,285.1,1,,,,,,10,5,13.2,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1646,40,2021/03/24,56.62,,,,,7,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1648,40,2021/03/24,849.74,,,,,21,,70,7,,,,,,,,,,,,,,,,,
"Samu Maceió",7789,48,2021/03/24,243.62,,,,,,7,,8,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7793,48,2021/03/24,161.77,,,,,,,20,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7796,48,2021/03/24,32.48,2,,,,,,,,,,,,,,,,,,,,,,,,
"SAMU Arapiraca",97606,200,2021/03/24,524.06,,,,,,51,,,,,,2,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97607,200,2021/03/24,113.69,,,,,,,,7,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",240,38,2021/03/25,29219.16,,16508,,,,,,,,,,,,,,,,,,,,,,,
"Samu Maceió",330,30,2021/03/25,64.97,,,,,,,,4,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",332,30,2021/03/25,81.21,,,,,,,,5,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",334,30,2021/03/25,32.48,2,,,,,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",887,32,2021/03/25,97.45,4,,,,,2,,,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1651,40,2021/03/25,593.81,,,,,,,10,2,59.4,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1655,40,2021/03/25,1277.68,,,,,,,,4,,,,,,,56,,,,,,,,,,
"Samu Maceió",7805,48,2021/03/25,357.32,,,,,,18,,4,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7810,48,2021/03/25,81.21,5,,,,,,,,,,,,,,,,,,,,,,,,
"Unidade Dom Miguel Fenelon Câmara",7814,48,2021/03/25,32.48,,,,,,2,,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",241,38,2021/03/26,11221.8,,6340,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",335,30,2021/03/26,259.87,,,,,,,,16,,,,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",1661,40,2021/03/26,113.24,,,,,14,,,,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1664,40,2021/03/26,608.11,2,,,,7,10,,6,,7,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1667,40,2021/03/26,64.97,,,,,,,,4,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1671,40,2021/03/26,574.28,,,,,21,,50,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1673,40,2021/03/26,350.82,,,,,,,,,,,,,,9,,,,,,,,,,,
"UNIDADE MISTA QUITÉRIA BEZERRA DE MELO",2322,73,2021/03/26,550.27,1,,,,,,60,3,,,,,,,,,,,,,,,,,
"Samu Maceió",7820,48,2021/03/26,198.14,,,,,,8,,1,,,,6,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7829,48,2021/03/26,48.73,3,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97653,200,2021/03/26,129.93,,,,,,,,8,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF PORTO CALVO",213,77,2021/03/27,5694.09,,3217,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",362,58,2021/03/27,23284.35,,13155,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1675,40,2021/03/27,154.07,,,,,7,,,6,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1676,40,2021/03/27,81.21,1,,,,,,,4,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1677,40,2021/03/27,259.14,,,,,,,,,,7,,,,,,,,,,,,,,,
"Samu Maceió",7835,48,2021/03/27,422.28,,,,,,14,,8,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7843,48,2021/03/27,48.73,3,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",7849,48,2021/03/27,178.66,,,,,,,,11,,,,,,,,,,,,,,,,,
"Samu Maceió",7850,48,2021/03/27,194.9,,,,,,7,,5,,,,,,,,,,,,,,,,,
